ra,dec,gmag,rmag,imag,ndet,class_star
247.15794692035857,-29.166962226806504,22.83866,22.40625,21.78125,10,0.759375
247.15805892354686,-29.16695646462467,99.99,22.21875,99.99,1,0.479736
247.1593835945802,-29.167722348508118,99.99,99.99,22.954922,4,0.512207
247.1608571624342,-29.168362233847475,99.99,99.99,22.806046,2,0.565186
247.15899830354482,-29.167152896649537,99.99,99.99,22.515625,1,0.558105
247.1518322564001,-29.16288579209534,99.99,99.99,22.561697,3,0.612061
247.15391885278336,-29.164649813561272,21.40197,20.698986,20.264256,14,0.970459
247.15437561169563,-29.163942683379307,20.474527,19.640718,19.22606,15,0.982259
247.15048831950395,-29.16193505687584,99.99,99.99,22.921875,1,0.581055
247.15507164929463,-29.162224754362942,99.99,99.99,99.99,1,0.508301
247.15379354229782,-29.16126228756964,99.99,99.99,21.95141,5,0.422656
247.15640562938228,-29.164953334923066,99.99,99.99,22.346935,4,0.634888
247.1561524954999,-29.1634909375872,21.771606,20.831354,20.241882,15,0.972819
247.15770843529162,-29.163748865895368,22.259665,21.262573,20.59199,15,0.804801
247.1591066490421,-29.165189744708965,99.99,99.99,22.859375,3,0.476725
247.15799687095893,-29.162179563270524,99.99,99.99,22.844267,3,0.553711
247.15900669568674,-29.163396671424575,99.99,22.857916,21.55825,9,0.679552
247.15955966494005,-29.163009434029465,99.99,99.99,22.734375,1,0.554199
247.15905774925704,-29.161221214704256,99.99,99.99,22.711893,2,0.674561
247.1598106710501,-29.161782900750893,21.762259,21.096676,20.694227,14,0.960031
247.1606597466401,-29.16171055405232,22.63084,21.683908,21.06701,14,0.853376
247.162318683499,-29.169982876333393,99.99,99.99,22.867195,3,0.522542
247.163368007301,-29.169897904424516,99.99,99.99,22.176115,4,0.663696
247.16509570802543,-29.17095138373795,23.123272,21.281673,20.140625,7,0.800921
247.16559164692578,-29.170631691359617,23.123947,22.162642,21.875,7,0.713937
247.16382679417822,-29.168352051564668,21.011082,20.237825,19.554642,10,0.421515
247.16200785196324,-29.167556310964468,21.744137,21.319542,20.905876,10,0.937647
247.16350259759733,-29.16792769126511,99.99,99.99,99.99,1,0.720703
247.16643008885927,-29.16900869862934,99.99,22.421543,21.257952,6,0.818441
247.17251502596724,-29.171186368389893,20.515625,19.86797,19.46875,6,0.981283
247.16944229438053,-29.169736310645842,99.99,22.142712,21.054502,5,0.847168
247.168541010936,-29.16872664437727,20.6875,19.625,19.539507,6,0.968913
247.16869414831015,-29.168467225874355,99.99,19.5,99.99,1,0.429443
247.16872752247676,-29.168168518082386,22.015625,20.625,19.995989,6,0.87443
247.1692710853634,-29.167990349936858,22.375,99.99,20.828125,3,0.957194
247.16968302189963,-29.16873719169363,99.99,22.44699,20.930836,6,0.598592
247.17095373176784,-29.169798569795553,99.99,99.99,22.200697,3,0.353617
247.17344035486687,-29.17049876265489,99.99,99.99,22.65625,1,0.603516
247.16305911174376,-29.16562132257669,22.17481,99.99,99.99,5,0.896289
247.163510028186,-29.165268205329628,22.082777,20,19.006718,11,0.802335
247.16361986050362,-29.16477466369939,22.490505,99.99,21.046875,6,0.887288
247.16497629421477,-29.16513990062809,23.331512,22.106213,21.163536,12,0.745748
247.16267512975506,-29.163812552542097,22.741787,22.037285,21.507273,15,0.797738
247.16347894891666,-29.1629178366117,22.969427,22.06276,21.44643,14,0.757673
247.16622225162507,-29.163260700702086,21.598177,20.769686,20.375,13,0.962064
247.16537621847928,-29.16276888939414,22.078125,21.25842,20.93699,12,0.936401
247.16796717281196,-29.16661053706326,99.99,23.125,21.609375,4,0.648193
247.16882365251166,-29.16569006247006,22.415201,21.704418,21.197855,9,0.90701
247.1719584669656,-29.168078959009513,23.1875,22.296875,21.378263,6,0.800863
247.1710163787661,-29.16665867218396,99.99,99.99,23,3,0.558757
247.17052118339973,-29.163325196835796,20.753447,19.52234,19,12,0.976481
247.17141784905866,-29.164618607036733,23.21875,99.99,99.99,1,0.667969
247.17137279445694,-29.164481055507725,22.984375,21.101723,20.53949,9,0.210873
247.17353259833587,-29.16451853744152,17.004654,16.493246,16.194595,8,0.98822
247.17479488635146,-29.189357119243766,22.348291,99.99,20.8125,5,0.965039
247.1762592224729,-29.1899887653867,22.505589,99.99,21.16351,6,0.924967
247.17500058732978,-29.18637898466256,23.306004,99.99,21.34375,5,0.705469
247.1782712729158,-29.187156605058767,99.99,99.99,21.765625,2,0.938232
247.17869727282772,-29.185672290225288,99.99,99.99,21.703125,2,0.784424
247.17682537732853,-29.18426226139993,99.99,99.99,21.953125,2,0.339203
247.17926664774373,-29.184821796464608,23.09375,99.99,20.9375,3,0.885742
247.18127802406343,-29.18775569335904,99.99,99.99,21.65625,2,0.822266
247.18281325423513,-29.1899467087285,18.543554,99.99,17.101341,8,0.985168
247.18495905371157,-29.189993249010247,99.99,99.99,22.53125,1,0.858887
247.18030490926472,-29.18542888506912,23.421875,99.99,21.875,3,0.781006
247.1832707602025,-29.185996802899925,21.54966,99.99,18.234375,6,0.973063
247.18299474365523,-29.185232114914562,21.611044,99.99,20.265625,5,0.952637
247.18699048329125,-29.189316838224627,21.50242,99.99,18.25,8,0.972778
247.18985946500632,-29.189208041422738,22.425865,99.99,21.296875,8,0.867188
247.1905606675416,-29.188187512332224,99.99,99.99,22.140625,2,0.663574
