night,band,mjd,flux,err,n,snr
57548.0,c,57548.5507678,8.107809002735635,7.571077694391837,5,1.0708923260345584
57552.0,o,57552.53898500001,7.2234326750876106,10.984619031412588,5,0.6575951932817008
57555.0,o,57555.531623799994,2.016854990472689,38.86755680645355,5,0.051890449418158735
57567.0,o,57567.506648,-34.76211598952403,20.289064950761645,5,-1.713342437115076
57575.0,c,57575.48942379999,-2.9183201432480983,6.950515566110436,5,-0.419871031938601
57576.0,c,57576.489859400004,2.26822898956789,7.0219112206779615,5,0.32302159886164067
57577.0,c,57577.4831486,-3.355027990548234,6.6902543529026,5,-0.5014798860513634
57601.0,c,57601.4334586,3.768377547738707,7.292556851747937,5,0.5167429784020775
57602.0,c,57602.43255119999,-4.876073367015451,7.847754772420695,5,-0.621333554426471
57603.0,c,57603.43049119999,1.427882503123156,7.907413317399699,5,0.18057516988282404
57608.0,c,57608.42211975,1.2359411710656392,7.374972564767675,4,0.16758586695902827
57612.0,o,57612.407277800005,-11.835114431480196,12.150215732069396,5,-0.9740661970505167
57627.0,c,57627.38209800001,1.5764051467420819,7.491249366654346,5,0.2104328756908165
57631.0,c,57631.357422999994,25.035782747603832,21.13241381712035,2,1.1847100366414924
57639.0,c,57639.35341166667,-0.3815355564373777,10.120776920632636,3,-0.03769824781529998
57643.0,o,57643.36786859999,28.7469306196282,24.111907536673417,5,1.1922296307708158
57651.0,o,57651.359997600004,-14.037423272821988,25.35853713880085,5,-0.5535580856256674
57659.0,c,57659.342196000005,-6.401994881779387,8.54030561046608,5,-0.7496212868464321
57667.0,c,57667.320727399994,23.835616438356162,9.103664774626047,5,2.6182440839420367
57671.0,o,57671.2842655,52.50356028765567,264.92522735193086,2,0.19818256197213377
57675.0,o,57675.2694014,-13.414075079329503,18.145003604689148,5,-0.739271006585138
57676.0,o,57676.3209988,-35.24240794461208,31.30677912873086,5,-1.1257117124600473
57679.0,o,57679.21820060001,22.232396736833287,13.699624341489578,5,1.6228471805246545
57687.0,c,57687.2502246,-5.493021076341067,8.972992272011842,5,-0.6121727189573821
57691.0,c,57691.25315775,6.30482832264883,9.654839180677875,4,0.6530226143244948
57695.0,c,57695.234210200004,2.662385405397357,8.54030561046608,5,0.31174357532763514
57703.0,o,57703.212240400004,-12.392686615544298,17.202020965502236,5,-0.7204203878368239
57707.0,o,57707.2112018,31.916827222609918,17.109694224252888,5,1.8654235899416607
57711.0,o,57711.20931600001,1.0822722997278782,20.477105382745393,5,0.05285279728256087
57715.0,c,57715.2090878,-18.380899218251667,10.57309866288949,5,-1.738459065247047
57903.0,c,57903.624568,57.0,81.0,1,0.7037037037037037
57907.0,o,57907.615009,42.0,19.0,1,2.210526315789474
57911.0,o,57911.4916496,8.95887445887446,8.374357893586238,5,1.0697983741220198
57913.0,o,57913.5415335,-23.0317672215954,29.372874977776327,4,-0.7841168846774909
57919.0,o,57919.557523,0.6998430459413929,14.435107144385057,4,0.048482012564320776
57923.0,o,57923.55879925,1.7478693076847502,10.594138567297591,4,0.16498456165942013
57927.0,o,57927.552838,1.8032786885245902,6.2094586760184125,4,0.2904083564464393
57931.0,o,57931.542816999994,10.133167760027279,7.038586834350086,4,1.4396594087004586
57935.0,o,57935.501240499994,0.8360473275424039,5.968632468497335,4,0.14007351465433546
57939.0,o,57939.51058825,18.82497327787623,10.635960762247421,4,1.7699363225084366
57940.0,o,57940.457681,-1.1898133120380565,8.542115223047526,4,-0.1392879024656346
57947.0,o,57947.496992500004,10.672054504789003,11.042302184492478,4,0.9664700645284422
57949.0,o,57949.5048655,10.455921638468388,8.116691244508571,4,1.2881999972023632
57951.0,o,57951.504975749995,-6.491307589958037,9.101087436269722,4,-0.7132452726570705
57955.0,o,57955.49127175,43.51041244363547,9.618691383318339,4,4.523527235637835
57959.0,o,57959.48337225,14.907162927766922,10.32996878169831,4,1.4430985458715098
57961.0,o,57961.49979725,7.648899416488532,5.833057967744673,4,1.3113018006652772
57963.0,o,57963.43885625,9.999337291118849,7.059395163183504,4,1.416458076078227
57967.0,o,57967.452242499996,-9.868778280542985,10.464332871398868,4,-0.9430871897735924
57969.0,o,57969.46258400001,3.845303867403315,9.46058996209746,4,0.40645497614937237
57974.0,o,57974.4802745,-3.1607154622646054,11.944639775544932,4,-0.2646137113934362
57976.0,o,57976.462614000004,-0.6909425663581042,10.619341733909677,4,-0.06506453824268474
