PSRJ,RAJ2000,DEJ2000,pmRA,pmDE,Plx,PB,A1,Ecc,OM,medM,minM,BINCOMP,Dist,Assoc
J1709+2313,17 09 05.79,+23 13 27.8,-3.2,-9.7,,22.71189238,20.0,0.0000187,24.303,0.316882,0.269165,He[lwf+04],1.83,""
J1711-4322,17 11 10.56,-43 22 53.1,,,,922.4708,100.0,0.002376,293.73,0.237035,0.20227,He[lfl+06],4.17,""
J1713+0747,17 13 49.53,+07 47 37.5,4.918,-3.914,0.85,67.8251383185,30.0,0.0000749402,176.1966,0.324201,0.275268,He[sns+05],1.18,GRS:2FGL_J1714.0+0751[naa+12]
J1719-1438,17 19 10.07,-14 38 00.9,1.9,-11.0,,0.09070629,0.002,0.0008,300.0,0.001304,0.001129,UL[bbb+11a],1.64,""
J1721-1936,17 21 01.48,-19 36 51.0,,,,0.25827386,0.4,0.0064031,231.34,0.134013,0.115068,"",8.6,GC:NGC6342
J1723-2837,17 23 23.19,-28 37 57.2,,,,0.615436473,1.0,,,0.277126,0.23593,MS[cls+13],1.0,OPT:2MASS_J17232318-2837571[cls+13]
J1727-2946,17 27 15.09,-29 46 36.8,0.6,0.0,,40.30771094,60.0,0.04562943,320.39625,1.007043,0.827171,CO[lem+15],1.62,""
J1731-1847,17 31 17.61,-18 47 32.7,-1.7,-6.0,,0.3111341185,0.1,0.000029,144.0,0.038512,0.033268,UL[bbb+11],4.03,""
J1732-5049,17 32 47.77,-50 49 00.2,-0.41,-9.87,,5.2629972182,4.0,8.5e-6,165.8,0.209294,0.17889,He[eb01b],1.81,GRS:[hsg+14]
J1737-0811,17 37 47.11,-08 11 08.9,,,,79.517379,9.0,0.0000538,49.8,0.07559,0.065143,UL(?)[blr+13],2.38,""
J1738+0333,17 38 53.97,+03 33 10.9,7.037,5.073,0.68,0.354790739872,0.3,3.4e-7,336.0,0.10399,0.089457,He[avk+12],1.47,OPT:[avk+12]
J1740-3052,17 40 50.00,-30 52 04.3,,,,231.02963,800.0,0.57887011,178.646811,15.820183,10.996517,MS[bbn+11],10.84,OPT:[bbn+11]
J1740-5340A,17 40 44.59,-53 40 40.9,,,,1.35405939,2.0,,,0.215258,0.183923,MS[dpm+01],2.2,"GC:NGC6397,OPT:[fpds01],XRS:[ghe+01]"
J1741+1351,17 41 31.15,+13 51 44.1,-8.96,-7.61,0.93,16.3353478266,10.0,9.98e-6,204.0,0.27988,0.238237,He[jbo+07],1.08,""
J1744-3922,17 44 02.67,-39 22 21.1,,,,0.19140635,0.2,,,0.096668,0.083196,UL[brr+07],4.6,""
J1745-0952,17 45 09.13,-09 52 39.7,-21.2,11.0,,4.943453386,2.0,9.8e-6,114.0,0.125617,0.107915,He[jsb+10],2.38,""
J1745+1017,17 45 33.84,+10 17 52.5,6.0,-5.0,,0.730241444,0.09,,,0.015826,0.013692,UL[bgc+13],1.36,GRS:2FGL_J1745.6+1015
J1748-2021B,17 48 52.95,-20 21 38.9,,,,20.5500072,4.0,0.5701606,314.31935,0.089763,0.077288,"",8.24,GC:NGC6440
J1748-2021D,17 48 51.65,-20 21 07.4,,,,0.2860686769,0.4,,,0.141195,0.121182,"",8.24,GC:NGC6440
J1748-2021F,17 48 52.33,-20 21 39.3,,,,9.83396979,9.0,0.053108,191.5,0.34825,0.29529,"",8.24,GC:NGC6440
J1748-2446A,17 48 02.25,-24 46 36.9,,,,0.075646111,0.1,,,0.101446,0.087283,UL[rhs+05],5.5,GC:Ter5
J1748-2446ad,17 48 04.80,-24 46 45.0,,,,1.09443034,1.0,,,0.161728,0.13863,"",5.5,GC:Ter5
J1748-2446ae,17 48 04.80,-24 46 45.0,,,,0.17073,0.04,,,0.019234,0.016636,UL[fre08],4.41,GC:Ter5
J1748-2446ai,17 48 04.80,-24 46 45.0,,,,0.85088,3.0,0.44,,0.571691,0.479058,"",5.5,GC:Ter5
J1748-2446E,17 48 04.80,-24 46 45.0,,,,60.06,20.0,0.02,,0.248777,0.212144,He[rhs+05],5.5,GC:Ter5
J1748-2446I,17 48 04.80,-24 46 45.0,,,,1.328,2.0,0.428,,0.242645,0.206989,He(?)[rhs+05],5.5,GC:Ter5
J1748-2446J,17 48 04.80,-24 46 45.0,,,,1.102,2.0,0.35,,0.394055,0.333288,CO[rhs+05],5.5,GC:Ter5
J1748-2446M,17 48 04.80,-24 46 45.0,,,,0.4431,0.6,,,0.159554,0.136785,He[rhs+05],5.5,GC:Ter5
J1748-2446N,17 48 04.80,-24 46 45.0,,,,0.3855,2.0,0.000045,,0.555473,0.465848,CO[rhs+05],5.5,GC:Ter5
J1748-2446O,17 48 04.80,-24 46 45.0,,,,0.2595,0.1,,,0.040552,0.035026,UL[rhs+05],5.5,GC:Ter5
J1748-2446P,17 48 04.80,-24 46 45.0,,,,0.3626,1.0,,,0.435281,0.367339,MS[rhs+05],4.41,GC:Ter5
J1748-2446Q,17 48 04.80,-24 46 45.0,,,,30.295,30.0,0.722,,0.530113,0.445155,"",5.5,GC:Ter5
J1748-2446U,17 48 04.80,-24 46 45.0,,,,3.57026,6.0,0.60498,,0.446806,0.376833,"",5.5,GC:Ter5
J1748-2446V,17 48 04.80,-24 46 45.0,,,,0.5036,0.6,,,0.138049,0.118505,He[rhs+05],5.5,GC:Ter5
J1748-2446W,17 48 04.80,-24 46 45.0,,,,4.877,6.0,0.015,,0.342729,0.290698,He[rhs+05],5.5,GC:Ter5
J1748-2446X,17 48 04.80,-24 46 45.0,,,,4.9985,5.0,0.3024,,0.286897,0.244111,"",5.5,GC:Ter5
J1748-2446Y,17 48 04.80,-24 46 45.0,,,,1.17,1.0,0.00002,,0.165586,0.141904,He[rhs+05],5.5,GC:Ter5
J1748-2446Z,17 48 04.80,-24 46 45.0,,,,3.48807,4.0,0.7608,,0.248083,0.21156,"",5.5,GC:Ter5
J1748-3009,17 48 23.79,-30 09 12.2,,,,2.9338198,1.0,,,0.097457,0.083871,He[kek+13],5.96,""
J1750-2536,17 50 33.39,-25 36 43.0,,,,17.14165,20.0,0.000392,54.7,0.546695,0.458691,CO[kek+13],3.51,""
J1750-3703A,17 50 13.80,-37 03 10.9,,,,17.3342759,20.0,0.712431,131.3547,0.693425,0.577614,"",13.8,GC:NGC6441
J1750-3703B,17 50 12.18,-37 03 22.9,,,,3.60511446,3.0,0.004046,323.07,0.192399,0.164616,"",13.8,GC:NGC6441
J1751-2857,17 51 32.70,-28 57 46.5,,,,110.7464576,30.0,0.0001283,45.52,0.225846,0.192849,He[sfl+05],1.44,""
J1753-2240,17 53 39.85,-22 40 42.0,,,,13.6375668,20.0,0.303582,-49.3151,0.582114,0.487537,NS(?)[kkl+09],3.46,""
J1755-25,17 55 36.00,-25 53 00.0,,,,9.69633,10.0,0.08932,129.65,0.477442,0.40202,"",11.04,""
J1755-3716,17 55 35.45,-37 16 10.8,,,,11.5156057,10.0,0.0000139,329.7,0.351831,0.298267,CO[nbb+14],6.38,""
J1756-2251,17 56 46.63,-22 51 59.3,-2.42,0.0,1.05,0.31963390143,3.0,0.1805694,327.8245,1.352747,1.096134,NS[fsk+14],0.73,""
J1757-5322,17 57 15.16,-53 22 26.4,,,,0.4533112381,2.0,4e-6,109.0,0.667528,0.556733,CO[jcv+06],1.36,""
J1801-0857B,18 01 50.57,-08 57 32.8,,,,59.8364526,30.0,0.0382271,0.01165753,0.376856,0.319041,"",7.2,GC:NGC6517
J1801-3210,18 01 25.89,-32 10 53.7,-8.0,-11.0,,20.77169942,8.0,2e-6,60.0,0.160899,0.137926,He[bbb+11],5.08,""
