mjd,fid,magpsf,sigmapsf,ra,dec,isdiffpos,distnr,magpsf_corr,band,yr
60525.31252310006,2,19.488243,0.1272567,326.8283136,-13.4746656,1,0.40084362,19.368029,r,2024
60525.35312499991,1,19.230812,0.121576555,326.8282816,-13.4747143,1,11.973861,,g,2024
60526.356099499855,1,18.875774,0.089726225,326.8283337,-13.4746729,1,3.909112,,g,2024
60526.378287000116,2,19.203756,0.13290316,326.8283127,-13.474664,1,0.56777555,19.124033,r,2024
60527.33560189977,1,19.070127,0.085391745,326.8283106,-13.4747194,1,11.910612,,g,2024
60527.359525499865,2,19.09485,0.0973478,326.828312,-13.4746781,1,0.37328985,19.009787,r,2024
60528.3975463002,2,18.973871,0.13875914,326.8283586,-13.4746557,1,0.4065369,18.908916,r,2024
60529.37478009984,2,18.564651,0.114542,326.8283199,-13.4746741,1,0.3965826,18.511667,r,2024
60531.31542820018,1,19.430904,0.12959994,326.8283502,-13.474686,1,3.9770782,,g,2024
60531.33450229978,1,19.428501,0.10715425,326.8283455,-13.4746821,1,11.966983,,g,2024
60531.35887729982,2,19.019966,0.11751205,326.8283321,-13.474688,1,0.3872019,18.940369,r,2024
60536.21038189996,2,19.201008,0.13449745,326.8283291,-13.4746571,1,0.5082565,19.121479,r,2024
60536.27627310017,1,19.293785,0.16758381,326.8283333,-13.4746807,1,3.9321945,,g,2024
60536.4149536998,2,19.573713,0.14473929,326.8284082,-13.474739,1,0.5486744,19.444218,r,2024
60538.27429400012,2,19.00556,0.16141151,326.8282242,-13.4747339,1,0.9283891,18.938738,r,2024
60538.31592589989,1,19.507362,0.1550128,326.8282375,-13.4747624,1,11.902216,,g,2024
60538.336053200066,1,19.11224,0.14701995,326.8283455,-13.4746868,1,3.9734662,,g,2024
60538.41660880018,2,19.146229,0.14437376,326.8283226,-13.4746636,1,0.43169874,19.057209,r,2024
60543.28493059985,2,18.840584,0.12942633,326.828323,-13.4746521,1,0.52766156,18.782936,r,2024
60543.28540509986,2,18.646034,0.11738426,326.8283079,-13.4746642,1,0.4146409,18.589033,r,2024
60545.272210599855,2,19.133291,0.16145113,326.8283227,-13.4747034,1,0.57573247,19.058409,r,2024
60545.31689810008,1,19.671,0.30465,326.8283477,-13.4746084,1,3.73483,,g,2024
