cls,source_id,sig,P_d,M2_msun,G,bp_rp,simbad_main,otype,sp_type,has_HD,has_HIP,has_GJ,has_TYC,named_ids
BD,4912578374781435520,17.333251953125,655.5521559789095,0.0657,11.272618293762207,0.9645900726318359,CD-54   354,PM*,"",false,false,false,true,""
BD,5077267349557463680,17.267518997192383,436.10377968191216,0.0611,10.784961700439453,0.8633050918579102,TYC 6437-159-1,*,"",false,false,false,true,""
BD,4811689386840344448,17.259305953979492,418.93712678233595,0.0568,12.66384220123291,1.174102783203125,,,,false,false,false,false,""
BD,5711465965705623296,17.084726333618164,316.96147707557225,0.0738,12.830350875854492,1.3717727661132812,,,,false,false,false,false,""
BD,1277775624082899968,16.96884536743164,734.6374478719915,0.0754,10.262250900268555,0.7914657592773438,TYC 2567-1500-1,SB*,"",false,false,false,true,""
BD,6500589824638636416,16.9316463470459,315.9935058482548,0.0704,9.321598052978516,0.6284246444702148,HD 219145,*,F5V,true,true,false,true,HD 219145|HIP 114710
BD,1054544389634594816,16.70157241821289,529.307612326494,0.0482,10.874530792236328,1.2989683151245117,BD+64   834B,*,"",false,false,false,true,BD+64   834B
BD,5074273551194125952,16.660057067871094,441.35602987878104,0.0741,12.714080810546875,1.2232427597045898,,,,false,false,false,false,""
BD,848553360072154880,16.585840225219727,510.9706193718579,0.0635,11.05199146270752,0.8308000564575195,TYC 3816-1331-1,SB*,"",false,false,false,true,""
BD,2449721875305441152,16.57851791381836,877.696670294973,0.0351,12.731640815734863,1.3317785263061523,UCAC4 444-132533,SB*,"",false,false,false,false,""
BD,5231111669359826176,16.56166648864746,173.83114561061163,0.0599,12.43742561340332,2.071892738342285,2MASS J11012898-7107371,PM*,"",false,false,false,false,""
BD,5787634839872702336,16.410709381103516,529.8291514188058,0.0765,12.883752822875977,1.2289953231811523,,,,false,false,false,false,""
BD,1314427672394503424,16.095705032348633,536.9964717771278,0.0777,11.371066093444824,0.8372659683227539,TYC 2585-992-1,PM*,"",false,false,false,true,""
BD,2073402196658549504,16.085901260375977,940.1726056508076,0.0723,11.57199478149414,1.4665594100952148,** ALI 1126B,PM*,K6V,false,false,false,false,""
BD,2277249663873880576,16.05815887451172,599.3587152699741,0.0169,12.90689754486084,2.4312820434570312,G 261-42,PM*,"",false,false,false,false,""
BD,5374647273064399872,16.033008575439453,250.94691413173453,0.0313,12.310498237609863,1.8761014938354492,UCAC3 87-126881,PM*,"",false,false,false,false,""
BD,2744694491118490752,15.976766586303711,247.97593954063782,0.0562,9.366439819335938,0.8241729736328125,BD+05  5218,SB*,G0,false,true,false,true,BD+05  5218|HIP 117179
BD,5148853253106611200,15.957977294921875,339.57418895451394,0.0438,11.378959655761719,1.548269271850586,LP  769-9,PM*,"",false,false,false,false,""
BD,1915562702578643968,15.81010913848877,404.15758474746224,0.0721,9.093274116516113,0.7249937057495117,BD+35  4911,SB*,F8,false,false,false,true,BD+35  4911
BD,3075645223335658240,15.775731086730957,326.53096816306095,0.0603,10.409794807434082,0.9125843048095703,TYC  212-305-1,SB*,"",false,false,false,true,""
BD,1761619456801656064,15.61655044555664,280.76221016961676,0.0409,11.883177757263184,1.3078622817993164,Gaia DR3 1761619456801656064,*,"",false,false,false,false,""
BD,4470858614946651904,15.498641967773438,628.4882904764995,0.0467,9.959172248840332,0.7818660736083984,BD+05  3688,SB*,G5,false,false,false,true,BD+05  3688
