ra,dec,id,otype,catalog,source_id,pulled_utc
269.725417,-31.316944,J1758-3119,DN,ritter_kolb,,2026-06-01T01:35:02Z
141.233333,13.348056,0922+1333,NL,ritter_kolb,,2026-06-01T01:35:02Z
5.74,61.685556,V1033_Cas,NL,ritter_kolb,,2026-06-01T01:35:02Z
292.857917,-6.427222,DO_Aql_1,Nc,ritter_kolb,,2026-06-01T01:35:02Z
290.867917,61.403611,J1923+6124,,ritter_kolb,,2026-06-01T01:35:02Z
268.36,-21.568056,J1753-2134,NL,ritter_kolb,,2026-06-01T01:35:02Z
277.935417,65.192222,J1831+6511,DN,ritter_kolb,,2026-06-01T01:35:02Z
259.899583,-41.015,J1719-4100,NL,ritter_kolb,,2026-06-01T01:35:02Z
284.03375,45.627778,J1856+4537,DN,ritter_kolb,,2026-06-01T01:35:02Z
175.909583,71.688889,DO_Dra_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
291.952083,44.790278,J1927+4447,DN,ritter_kolb,,2026-06-01T01:35:02Z
36.5975,71.308889,AM_Cas_1,DN,ritter_kolb,,2026-06-01T01:35:02Z
79.11125,-0.203889,V1193_Ori_1,NL,ritter_kolb,,2026-06-01T01:35:02Z
330.13,3.575,J2200+0334,DN,ritter_kolb,,2026-06-01T01:35:02Z
